,embalaje,largo,alto,ancho,peso,procedencia,manipulacion,temperatura,protocolo
1853,A,50,45,47,21150.0,C,fragil,normal,Protocolo_1
1854,C,10,9,8,144.0,B,fragil,refrigerado,Protocolo_1
1855,B,75,80,76,91200.0,D,fragil,refrigerado,Protocolo_1
1856,C,10,11,12,264.0,D,normal,normal,Protocolo_1
1857,B,75,77,73,84315.0,C,fragil,normal,Protocolo_1
1858,B,75,75,77,86625.0,B,normal,normal,Protocolo_2
1859,A,50,53,51,27030.0,D,fragil,normal,Protocolo_1
1860,C,10,15,7,210.0,B,fragil,normal,Protocolo_1
1861,A,50,49,49,24010.0,B,normal,normal,Protocolo_2
1862,A,50,55,47,25850.0,B,fragil,refrigerado,Protocolo_1
1863,B,75,75,76,85500.0,B,fragil,refrigerado,Protocolo_1
1864,B,75,76,80,91200.0,B,fragil,normal,Protocolo_1
1865,A,50,52,52,27040.0,C,fragil,normal,Protocolo_1
1866,A,50,46,52,23920.0,C,fragil,refrigerado,Protocolo_1
1867,C,10,10,14,280.0,C,fragil,normal,Protocolo_1
1868,B,75,78,73,85410.0,A,fragil,normal,Protocolo_1
1869,C,10,12,5,120.0,D,normal,refrigerado,Protocolo_1
1870,A,50,55,54,29700.0,A,normal,refrigerado,Protocolo_1
1871,B,75,72,72,77760.0,A,fragil,refrigerado,Protocolo_1
1872,B,75,79,74,87690.0,B,normal,normal,Protocolo_2
1873,C,10,7,14,196.0,D,normal,normal,Protocolo_1
1874,C,10,10,7,140.0,B,fragil,normal,Protocolo_1
1875,C,10,10,10,200.0,B,normal,refrigerado,Protocolo_1
1876,A,50,49,52,25480.0,C,normal,normal,Protocolo_2
1877,B,75,74,71,78810.0,B,fragil,refrigerado,Protocolo_1
1878,A,50,49,54,26460.0,D,fragil,refrigerado,Protocolo_1
1879,C,10,13,7,182.0,A,normal,normal,Protocolo_1
1880,A,50,55,49,26950.0,D,fragil,normal,Protocolo_1
1881,A,50,48,54,25920.0,B,fragil,normal,Protocolo_1
1882,B,75,75,70,78750.0,A,normal,normal,Protocolo_2
1883,C,10,12,7,168.0,C,fragil,normal,Protocolo_1
1884,A,50,52,55,28600.0,A,normal,normal,Protocolo_2
1885,C,10,13,9,234.0,B,normal,refrigerado,Protocolo_1
1886,C,10,6,7,84.0,D,fragil,refrigerado,Protocolo_1
1887,B,75,73,78,85410.0,B,fragil,normal,Protocolo_1
1888,A,50,51,45,22950.0,B,fragil,normal,Protocolo_1
1889,A,50,54,50,27000.0,B,normal,normal,Protocolo_2
1890,C,10,13,8,208.0,B,fragil,normal,Protocolo_1
1891,C,10,11,12,264.0,D,normal,refrigerado,Protocolo_1
1892,A,50,53,45,23850.0,C,fragil,normal,Protocolo_1
1893,B,75,76,75,85500.0,D,normal,normal,Protocolo_2
1894,B,75,80,78,93600.0,D,fragil,normal,Protocolo_1
1895,A,50,51,50,25500.0,A,normal,normal,Protocolo_2
1896,A,50,48,49,23520.0,A,fragil,refrigerado,Protocolo_1
1897,A,50,49,47,23030.0,C,fragil,normal,Protocolo_1
1898,B,75,70,73,76650.0,D,fragil,normal,Protocolo_1
1899,B,75,79,80,94800.0,D,normal,normal,Protocolo_2
1900,A,50,52,48,24960.0,C,normal,refrigerado,Protocolo_1
1901,C,10,9,10,180.0,D,fragil,refrigerado,Protocolo_1
1902,B,75,77,77,88935.0,D,normal,normal,Protocolo_2
1903,C,10,13,14,364.0,A,fragil,normal,Protocolo_1
1904,A,50,51,46,23460.0,B,normal,normal,Protocolo_2
1905,A,50,48,49,23520.0,D,fragil,normal,Protocolo_1
1906,B,75,72,79,85320.0,C,fragil,normal,Protocolo_1
1907,C,10,13,12,312.0,B,fragil,normal,Protocolo_1
1908,B,75,78,75,87750.0,C,fragil,refrigerado,Protocolo_1
1909,C,10,12,9,216.0,A,normal,normal,Protocolo_1
1910,C,10,11,6,132.0,B,normal,refrigerado,Protocolo_1
1911,B,75,71,77,82005.0,B,fragil,refrigerado,Protocolo_1
1912,B,75,73,74,81030.0,B,normal,normal,Protocolo_2
1913,B,75,74,72,79920.0,D,fragil,refrigerado,Protocolo_1
1914,A,50,49,55,26950.0,B,normal,normal,Protocolo_2
1915,C,10,9,13,234.0,A,fragil,normal,Protocolo_1
1916,C,10,8,14,224.0,D,fragil,normal,Protocolo_1
1917,B,75,76,70,79800.0,D,normal,refrigerado,Protocolo_1
1918,B,75,76,78,88920.0,B,normal,normal,Protocolo_2
1919,C,10,10,12,240.0,D,fragil,normal,Protocolo_1
1920,C,10,13,5,130.0,C,fragil,refrigerado,Protocolo_1
1921,C,10,11,8,176.0,A,normal,normal,Protocolo_1
1922,C,10,11,9,198.0,B,normal,normal,Protocolo_1
1923,B,75,71,75,79875.0,B,fragil,refrigerado,Protocolo_1
1924,C,10,15,13,390.0,B,normal,refrigerado,Protocolo_1
1925,A,50,48,46,22080.0,A,normal,refrigerado,Protocolo_1
1926,B,75,75,78,87750.0,D,normal,normal,Protocolo_2
1927,C,10,10,11,220.0,A,normal,normal,Protocolo_1
1928,A,50,49,54,26460.0,D,fragil,refrigerado,Protocolo_1
1929,A,50,51,47,23970.0,A,normal,normal,Protocolo_2
1930,A,50,46,54,24840.0,C,normal,normal,Protocolo_2
1931,A,50,52,50,26000.0,B,normal,refrigerado,Protocolo_1
1932,B,75,76,71,80940.0,B,normal,normal,Protocolo_2
1933,A,50,47,52,24440.0,A,normal,normal,Protocolo_2
1934,A,50,51,49,24990.0,C,normal,normal,Protocolo_2
1935,B,75,70,73,76650.0,A,normal,normal,Protocolo_2
1936,C,10,13,15,390.0,A,fragil,normal,Protocolo_1
1937,C,10,13,13,338.0,A,fragil,refrigerado,Protocolo_1
1938,C,10,12,6,144.0,D,fragil,normal,Protocolo_1
1939,C,10,6,7,84.0,B,fragil,refrigerado,Protocolo_1
1940,A,50,50,50,25000.0,D,normal,normal,Protocolo_2
1941,C,10,8,13,208.0,A,normal,refrigerado,Protocolo_1
1942,A,50,52,46,23920.0,A,fragil,normal,Protocolo_1
1943,B,75,78,77,90090.0,C,fragil,normal,Protocolo_1
1944,B,75,72,77,83160.0,B,fragil,normal,Protocolo_1
1945,A,50,45,49,22050.0,D,fragil,normal,Protocolo_1
1946,C,10,11,13,286.0,A,fragil,normal,Protocolo_1
1947,A,50,55,50,27500.0,D,normal,normal,Protocolo_2
1948,B,75,70,77,80850.0,B,normal,normal,Protocolo_2
1949,B,75,74,77,85470.0,B,normal,normal,Protocolo_2
1950,B,75,78,74,86580.0,A,normal,normal,Protocolo_2
1951,A,50,49,46,22540.0,A,normal,refrigerado,Protocolo_1
1952,A,50,54,50,27000.0,D,normal,normal,Protocolo_2
1953,B,75,79,76,90060.0,B,normal,refrigerado,Protocolo_1
1954,B,75,72,79,85320.0,D,normal,refrigerado,Protocolo_1
1955,C,10,15,11,330.0,A,normal,normal,Protocolo_1
1956,C,10,9,11,198.0,B,normal,normal,Protocolo_1
1957,A,50,53,52,27560.0,A,normal,refrigerado,Protocolo_1
1958,A,50,54,53,28620.0,C,normal,normal,Protocolo_2
1959,C,10,10,10,200.0,A,normal,refrigerado,Protocolo_1
1960,A,50,51,47,23970.0,A,normal,normal,Protocolo_2
1961,A,50,52,54,28080.0,D,normal,normal,Protocolo_2
1962,C,10,9,14,252.0,B,fragil,normal,Protocolo_1
1963,C,10,9,9,162.0,A,fragil,normal,Protocolo_1
1964,C,10,11,5,110.0,B,normal,refrigerado,Protocolo_1
1965,B,75,76,77,87780.0,A,fragil,normal,Protocolo_1
1966,C,10,6,5,60.0,C,normal,normal,Protocolo_1
1967,B,75,76,74,84360.0,C,normal,refrigerado,Protocolo_1
1968,C,10,15,5,150.0,C,normal,normal,Protocolo_1
1969,B,75,80,74,88800.0,C,normal,refrigerado,Protocolo_1
1970,B,75,76,71,80940.0,D,normal,refrigerado,Protocolo_1
1971,B,75,78,76,88920.0,B,fragil,normal,Protocolo_1
1972,A,50,48,55,26400.0,A,normal,normal,Protocolo_2
1973,C,10,11,12,264.0,B,normal,refrigerado,Protocolo_1
1974,B,75,70,75,78750.0,A,normal,normal,Protocolo_2
1975,A,50,49,47,23030.0,B,fragil,refrigerado,Protocolo_1
1976,B,75,78,77,90090.0,C,fragil,normal,Protocolo_1
1977,C,10,7,13,182.0,A,fragil,normal,Protocolo_1
1978,B,75,76,76,86640.0,A,fragil,normal,Protocolo_1
1979,C,10,6,11,132.0,D,normal,normal,Protocolo_1
1980,B,75,72,76,82080.0,A,fragil,normal,Protocolo_1
1981,A,50,48,53,25440.0,A,normal,normal,Protocolo_2
1982,C,10,9,10,180.0,C,normal,normal,Protocolo_1
1983,B,75,78,79,92430.0,B,normal,normal,Protocolo_2
1984,A,50,51,48,24480.0,C,fragil,normal,Protocolo_1
1985,C,10,14,9,252.0,C,normal,normal,Protocolo_1
1986,B,75,77,73,84315.0,A,fragil,refrigerado,Protocolo_1
1987,B,75,74,80,88800.0,A,fragil,normal,Protocolo_1
1988,C,10,5,8,80.0,A,normal,normal,Protocolo_1
1989,A,50,54,49,26460.0,B,normal,refrigerado,Protocolo_1
1990,B,75,75,80,90000.0,C,fragil,normal,Protocolo_1
1991,A,50,47,47,22090.0,D,fragil,refrigerado,Protocolo_1
1992,B,75,71,77,82005.0,A,fragil,normal,Protocolo_1
1993,B,75,70,72,75600.0,A,normal,normal,Protocolo_2
1994,C,10,11,13,286.0,C,normal,normal,Protocolo_1
1995,A,50,54,45,24300.0,A,normal,normal,Protocolo_2
1996,B,75,76,73,83220.0,A,normal,normal,Protocolo_2
1997,A,50,53,46,24380.0,A,normal,normal,Protocolo_2
1998,A,50,50,51,25500.0,A,normal,normal,Protocolo_2
1999,C,10,9,8,144.0,C,normal,normal,Protocolo_1
2000,A,50,53,45,23850.0,B,normal,normal,Protocolo_2
2001,A,50,51,54,27540.0,A,fragil,normal,Protocolo_1
2002,A,50,46,46,21160.0,C,normal,refrigerado,Protocolo_1
2003,C,10,14,5,140.0,D,fragil,normal,Protocolo_1
2004,B,75,76,80,91200.0,D,normal,refrigerado,Protocolo_1
2005,B,75,78,77,90090.0,B,normal,normal,Protocolo_2
2006,C,10,5,12,120.0,A,normal,normal,Protocolo_1
2007,A,50,51,52,26520.0,D,normal,normal,Protocolo_2
2008,B,75,75,79,88875.0,C,fragil,normal,Protocolo_1
2009,B,75,77,74,85470.0,D,fragil,normal,Protocolo_1
2010,C,10,10,8,160.0,A,normal,normal,Protocolo_1
2011,B,75,77,77,88935.0,A,normal,normal,Protocolo_2
2012,A,50,47,49,23030.0,A,normal,refrigerado,Protocolo_1
2013,B,75,70,79,82950.0,B,normal,normal,Protocolo_2
2014,B,75,77,75,86625.0,B,fragil,normal,Protocolo_1
2015,B,75,70,73,76650.0,B,normal,normal,Protocolo_2
2016,C,10,6,10,120.0,C,normal,normal,Protocolo_1
2017,A,50,45,46,20700.0,B,normal,normal,Protocolo_2
2018,A,50,51,48,24480.0,B,normal,normal,Protocolo_2
2019,B,75,72,78,84240.0,A,normal,normal,Protocolo_2
2020,A,50,50,52,26000.0,B,normal,normal,Protocolo_2
2021,A,50,47,51,23970.0,C,normal,refrigerado,Protocolo_1
2022,A,50,54,49,26460.0,B,normal,refrigerado,Protocolo_1
2023,B,75,78,70,81900.0,A,fragil,normal,Protocolo_1
2024,B,75,75,78,87750.0,D,normal,normal,Protocolo_2
2025,A,50,53,47,24910.0,A,fragil,normal,Protocolo_1
2026,A,50,54,50,27000.0,A,normal,normal,Protocolo_2
2027,A,50,46,54,24840.0,C,fragil,normal,Protocolo_1
2028,C,10,12,11,264.0,A,normal,normal,Protocolo_1
2029,B,75,75,71,79875.0,C,fragil,refrigerado,Protocolo_1
2030,C,10,12,10,240.0,B,normal,normal,Protocolo_1
2031,C,10,14,5,140.0,C,normal,normal,Protocolo_1
2032,C,10,14,8,224.0,C,normal,normal,Protocolo_1
2033,C,10,8,13,208.0,D,fragil,refrigerado,Protocolo_1
2034,A,50,47,46,21620.0,C,normal,normal,Protocolo_2
2035,B,75,71,73,77745.0,A,normal,normal,Protocolo_2
2036,B,75,76,76,86640.0,B,fragil,normal,Protocolo_1
2037,A,50,46,53,24380.0,D,normal,normal,Protocolo_2
2038,A,50,55,54,29700.0,C,fragil,normal,Protocolo_1
2039,B,75,79,73,86505.0,B,normal,normal,Protocolo_2
2040,C,10,14,8,224.0,C,normal,normal,Protocolo_1
2041,C,10,15,12,360.0,A,fragil,normal,Protocolo_1
2042,C,10,10,10,200.0,B,normal,normal,Protocolo_1
2043,B,75,77,74,85470.0,C,normal,normal,Protocolo_2
2044,B,75,75,71,79875.0,A,normal,normal,Protocolo_2
2045,A,50,45,47,21150.0,D,fragil,normal,Protocolo_1
2046,B,75,77,70,80850.0,C,fragil,normal,Protocolo_1
2047,A,50,46,50,23000.0,B,fragil,normal,Protocolo_1
2048,A,50,48,54,25920.0,A,fragil,normal,Protocolo_1
2049,A,50,47,45,21150.0,C,fragil,normal,Protocolo_1
2050,B,75,73,79,86505.0,C,normal,normal,Protocolo_2
2051,B,75,77,75,86625.0,D,normal,refrigerado,Protocolo_1
2052,B,75,70,78,81900.0,B,normal,refrigerado,Protocolo_1
2053,C,10,11,5,110.0,C,fragil,normal,Protocolo_1
2054,B,75,74,80,88800.0,C,normal,normal,Protocolo_2
2055,A,50,49,45,22050.0,D,normal,normal,Protocolo_2
2056,B,75,71,79,84135.0,C,fragil,normal,Protocolo_1
2057,C,10,10,6,120.0,A,normal,refrigerado,Protocolo_1
2058,B,75,74,75,83250.0,D,normal,normal,Protocolo_2
2059,A,50,51,48,24480.0,B,normal,normal,Protocolo_2
2060,A,50,51,53,27030.0,A,fragil,normal,Protocolo_1
2061,C,10,8,8,128.0,C,fragil,normal,Protocolo_1
2062,B,75,79,79,93615.0,A,fragil,normal,Protocolo_1
2063,A,50,54,48,25920.0,D,normal,normal,Protocolo_2
2064,C,10,11,15,330.0,C,normal,normal,Protocolo_1
2065,A,50,55,48,26400.0,C,fragil,normal,Protocolo_1
2066,C,10,6,15,180.0,D,normal,normal,Protocolo_1
2067,B,75,71,75,79875.0,C,normal,refrigerado,Protocolo_1
2068,C,10,6,10,120.0,A,normal,normal,Protocolo_1
2069,C,10,10,13,260.0,A,fragil,normal,Protocolo_1
2070,B,75,72,76,82080.0,A,normal,normal,Protocolo_2
2071,A,50,53,46,24380.0,D,normal,normal,Protocolo_2
2072,A,50,55,50,27500.0,A,normal,normal,Protocolo_2
2073,B,75,74,75,83250.0,A,fragil,normal,Protocolo_1
2074,C,10,13,11,286.0,A,normal,normal,Protocolo_1
2075,B,75,76,70,79800.0,C,normal,normal,Protocolo_2
2076,C,10,15,10,300.0,B,fragil,normal,Protocolo_1
2077,B,75,76,70,79800.0,B,fragil,normal,Protocolo_1
2078,A,50,47,50,23500.0,A,normal,normal,Protocolo_2
2079,A,50,52,54,28080.0,C,normal,normal,Protocolo_2
2080,A,50,50,45,22500.0,B,normal,normal,Protocolo_2
2081,B,75,80,73,87600.0,D,fragil,normal,Protocolo_1
2082,C,10,8,12,192.0,A,normal,normal,Protocolo_1
2083,B,75,76,80,91200.0,D,fragil,normal,Protocolo_1
2084,C,10,11,15,330.0,A,normal,normal,Protocolo_1
2085,B,75,73,74,81030.0,C,normal,normal,Protocolo_2
2086,B,75,75,74,83250.0,D,fragil,normal,Protocolo_1
2087,B,75,71,78,83070.0,C,fragil,refrigerado,Protocolo_1
2088,B,75,71,73,77745.0,C,fragil,refrigerado,Protocolo_1
2089,B,75,75,80,90000.0,C,fragil,normal,Protocolo_1
2090,B,75,77,75,86625.0,C,normal,normal,Protocolo_2
2091,A,50,54,48,25920.0,B,fragil,normal,Protocolo_1
2092,B,75,77,72,83160.0,D,fragil,refrigerado,Protocolo_1
2093,A,50,50,46,23000.0,A,normal,normal,Protocolo_2
2094,B,75,74,77,85470.0,C,fragil,refrigerado,Protocolo_1
2095,A,50,53,52,27560.0,A,normal,normal,Protocolo_2
2096,C,10,6,9,108.0,B,fragil,normal,Protocolo_1
2097,B,75,72,77,83160.0,B,normal,normal,Protocolo_2
2098,B,75,75,77,86625.0,D,normal,normal,Protocolo_2
2099,A,50,49,47,23030.0,C,fragil,normal,Protocolo_1
2100,C,10,5,8,80.0,A,fragil,refrigerado,Protocolo_1
2101,C,10,11,13,286.0,B,normal,normal,Protocolo_1
2102,B,75,76,78,88920.0,B,normal,normal,Protocolo_2
2103,C,10,9,9,162.0,D,normal,normal,Protocolo_1
2104,C,10,5,10,100.0,C,normal,normal,Protocolo_1
2105,B,75,75,77,86625.0,C,normal,normal,Protocolo_2
2106,A,50,47,52,24440.0,C,fragil,normal,Protocolo_1
2107,A,50,52,51,26520.0,A,normal,normal,Protocolo_2
2108,C,10,12,10,240.0,A,normal,refrigerado,Protocolo_1
2109,B,75,71,76,80940.0,C,normal,refrigerado,Protocolo_1
2110,A,50,48,49,23520.0,D,normal,normal,Protocolo_2
2111,C,10,6,10,120.0,B,fragil,normal,Protocolo_1
2112,A,50,50,52,26000.0,D,normal,normal,Protocolo_2
2113,B,75,77,73,84315.0,D,normal,normal,Protocolo_2
2114,B,75,75,77,86625.0,D,fragil,normal,Protocolo_1
2115,A,50,48,55,26400.0,C,normal,normal,Protocolo_2
2116,B,75,74,73,81030.0,A,normal,normal,Protocolo_2
2117,C,10,10,14,280.0,B,normal,normal,Protocolo_1
2118,B,75,76,73,83220.0,B,normal,refrigerado,Protocolo_1
2119,C,10,14,7,196.0,B,normal,normal,Protocolo_1
2120,B,75,72,76,82080.0,B,fragil,normal,Protocolo_1
2121,B,75,72,77,83160.0,D,normal,refrigerado,Protocolo_1
2122,C,10,5,11,110.0,B,normal,normal,Protocolo_1
2123,B,75,76,74,84360.0,A,normal,refrigerado,Protocolo_1
2124,B,75,78,78,91260.0,D,fragil,refrigerado,Protocolo_1
2125,A,50,48,50,24000.0,A,normal,normal,Protocolo_2
2126,A,50,51,50,25500.0,C,normal,normal,Protocolo_2
2127,C,10,11,6,132.0,B,fragil,refrigerado,Protocolo_1
2128,A,50,52,55,28600.0,C,normal,normal,Protocolo_2
2129,C,10,6,14,168.0,B,fragil,normal,Protocolo_1
2130,B,75,75,71,79875.0,A,fragil,refrigerado,Protocolo_1
2131,A,50,54,53,28620.0,B,normal,normal,Protocolo_2
2132,C,10,9,10,180.0,D,normal,normal,Protocolo_1
2133,C,10,15,10,300.0,A,normal,normal,Protocolo_1
2134,B,75,74,76,84360.0,A,fragil,normal,Protocolo_1
2135,B,75,76,78,88920.0,A,normal,normal,Protocolo_2
2136,C,10,10,9,180.0,C,normal,normal,Protocolo_1
2137,B,75,78,72,84240.0,C,normal,normal,Protocolo_2
2138,C,10,15,10,300.0,B,normal,normal,Protocolo_1
2139,C,10,12,12,288.0,B,fragil,normal,Protocolo_1
2140,B,75,76,75,85500.0,B,fragil,normal,Protocolo_1
2141,B,75,79,70,82950.0,B,fragil,normal,Protocolo_1
2142,C,10,8,11,176.0,D,fragil,refrigerado,Protocolo_1
2143,B,75,73,70,76650.0,A,normal,normal,Protocolo_2
2144,C,10,7,15,210.0,B,normal,normal,Protocolo_1
2145,B,75,70,79,82950.0,A,fragil,normal,Protocolo_1
2146,A,50,54,48,25920.0,D,fragil,refrigerado,Protocolo_1
2147,A,50,49,48,23520.0,D,fragil,refrigerado,Protocolo_1
2148,A,50,48,53,25440.0,A,fragil,normal,Protocolo_1
2149,C,10,11,6,132.0,D,normal,normal,Protocolo_1
2150,B,75,73,70,76650.0,C,normal,refrigerado,Protocolo_1
2151,B,75,79,70,82950.0,D,normal,normal,Protocolo_2
2152,A,50,47,52,24440.0,C,normal,normal,Protocolo_2
2153,A,50,47,50,23500.0,C,normal,normal,Protocolo_2
2154,C,10,13,9,234.0,D,fragil,normal,Protocolo_1
2155,B,75,75,76,85500.0,C,normal,normal,Protocolo_2
2156,B,75,77,71,82005.0,C,normal,normal,Protocolo_2
2157,C,10,10,14,280.0,C,fragil,refrigerado,Protocolo_1
2158,B,75,77,75,86625.0,B,normal,normal,Protocolo_2
2159,B,75,73,72,78840.0,A,fragil,normal,Protocolo_1
2160,A,50,51,54,27540.0,B,normal,normal,Protocolo_2
2161,B,75,72,73,78840.0,C,fragil,normal,Protocolo_1
2162,C,10,14,8,224.0,D,normal,refrigerado,Protocolo_1
2163,A,50,50,48,24000.0,D,normal,normal,Protocolo_2
2164,A,50,47,52,24440.0,B,fragil,normal,Protocolo_1
2165,A,50,52,52,27040.0,A,normal,normal,Protocolo_2
2166,C,10,13,6,156.0,D,fragil,normal,Protocolo_1
2167,C,10,5,11,110.0,A,fragil,normal,Protocolo_1
2168,B,75,72,74,79920.0,B,normal,refrigerado,Protocolo_1
2169,B,75,76,73,83220.0,D,normal,normal,Protocolo_2
2170,C,10,5,10,100.0,A,fragil,normal,Protocolo_1
2171,A,50,50,45,22500.0,A,fragil,normal,Protocolo_1
2172,B,75,77,80,92400.0,C,fragil,normal,Protocolo_1
2173,C,10,9,6,108.0,A,normal,normal,Protocolo_1
2174,C,10,14,12,336.0,D,fragil,normal,Protocolo_1
2175,B,75,72,77,83160.0,B,normal,refrigerado,Protocolo_1
2176,A,50,53,48,25440.0,B,normal,normal,Protocolo_2
2177,C,10,12,9,216.0,A,normal,refrigerado,Protocolo_1
2178,B,75,79,80,94800.0,A,normal,refrigerado,Protocolo_1
2179,B,75,79,78,92430.0,C,normal,normal,Protocolo_2
2180,C,10,11,12,264.0,D,normal,normal,Protocolo_1
2181,A,50,48,46,22080.0,B,normal,normal,Protocolo_2
2182,B,75,73,75,82125.0,A,fragil,normal,Protocolo_1
2183,C,10,7,14,196.0,B,fragil,refrigerado,Protocolo_1
2184,B,75,74,79,87690.0,D,normal,normal,Protocolo_2
2185,B,75,74,74,82140.0,D,fragil,normal,Protocolo_1
2186,B,75,73,75,82125.0,C,normal,normal,Protocolo_2
2187,C,10,8,5,80.0,D,normal,normal,Protocolo_1
2188,C,10,9,13,234.0,D,fragil,normal,Protocolo_1
2189,B,75,73,75,82125.0,D,normal,refrigerado,Protocolo_1
2190,B,75,70,74,77700.0,D,fragil,normal,Protocolo_1
2191,B,75,75,75,84375.0,C,fragil,normal,Protocolo_1
2192,A,50,54,45,24300.0,B,normal,refrigerado,Protocolo_1
2193,B,75,77,75,86625.0,A,normal,normal,Protocolo_2
2194,C,10,6,12,144.0,D,normal,normal,Protocolo_1
2195,B,75,79,75,88875.0,A,normal,refrigerado,Protocolo_1
2196,C,10,14,12,336.0,C,normal,refrigerado,Protocolo_1
2197,C,10,10,5,100.0,D,normal,normal,Protocolo_1
2198,A,50,52,45,23400.0,C,normal,refrigerado,Protocolo_1
2199,A,50,51,49,24990.0,C,fragil,normal,Protocolo_1
2200,C,10,12,10,240.0,D,normal,normal,Protocolo_1
2201,B,75,76,78,88920.0,B,normal,normal,Protocolo_2
2202,C,10,12,8,192.0,B,fragil,normal,Protocolo_1
2203,B,75,76,74,84360.0,C,fragil,normal,Protocolo_1
2204,C,10,7,5,70.0,D,normal,normal,Protocolo_1
2205,A,50,45,46,20700.0,B,fragil,normal,Protocolo_1
2206,C,10,14,12,336.0,B,fragil,normal,Protocolo_1
2207,A,50,48,52,24960.0,B,normal,normal,Protocolo_2
2208,A,50,51,54,27540.0,D,fragil,normal,Protocolo_1
2209,C,10,9,15,270.0,D,fragil,normal,Protocolo_1
2210,B,75,79,75,88875.0,B,fragil,normal,Protocolo_1
2211,A,50,53,49,25970.0,D,normal,normal,Protocolo_2
2212,C,10,6,7,84.0,A,normal,normal,Protocolo_1
2213,A,50,52,47,24440.0,B,normal,normal,Protocolo_2
2214,C,10,12,13,312.0,B,fragil,normal,Protocolo_1
2215,C,10,12,6,144.0,C,fragil,refrigerado,Protocolo_1
2216,A,50,54,45,24300.0,D,fragil,normal,Protocolo_1
2217,C,10,6,5,60.0,B,fragil,normal,Protocolo_1
2218,C,10,15,10,300.0,B,fragil,refrigerado,Protocolo_1
2219,A,50,49,46,22540.0,B,fragil,refrigerado,Protocolo_1
2220,B,75,70,70,73500.0,A,fragil,refrigerado,Protocolo_1
2221,A,50,53,48,25440.0,B,fragil,refrigerado,Protocolo_1
2222,B,75,76,74,84360.0,B,normal,refrigerado,Protocolo_1
2223,A,50,52,54,28080.0,C,normal,normal,Protocolo_2
2224,A,50,47,54,25380.0,C,normal,normal,Protocolo_2
2225,A,50,54,45,24300.0,C,fragil,normal,Protocolo_1
2226,B,75,72,76,82080.0,C,fragil,normal,Protocolo_1
2227,A,50,47,46,21620.0,A,normal,normal,Protocolo_2
2228,B,75,77,74,85470.0,C,normal,normal,Protocolo_2
2229,B,75,73,77,84315.0,B,fragil,normal,Protocolo_1
2230,B,75,80,74,88800.0,A,normal,refrigerado,Protocolo_1
2231,C,10,14,12,336.0,D,normal,normal,Protocolo_1
2232,C,10,10,11,220.0,C,normal,normal,Protocolo_1
2233,C,10,12,9,216.0,B,normal,refrigerado,Protocolo_1
2234,A,50,50,51,25500.0,C,fragil,refrigerado,Protocolo_1
2235,C,10,15,10,300.0,B,fragil,normal,Protocolo_1
2236,A,50,47,45,21150.0,C,normal,refrigerado,Protocolo_1
2237,C,10,6,14,168.0,B,normal,refrigerado,Protocolo_1
2238,C,10,5,9,90.0,B,fragil,normal,Protocolo_1
2239,C,10,8,12,192.0,B,fragil,refrigerado,Protocolo_1
2240,C,10,15,11,330.0,B,fragil,normal,Protocolo_1
2241,B,75,77,79,91245.0,A,normal,normal,Protocolo_2
2242,C,10,11,9,198.0,A,normal,normal,Protocolo_1
2243,C,10,15,8,240.0,B,normal,normal,Protocolo_1
2244,A,50,47,52,24440.0,B,normal,refrigerado,Protocolo_1
2245,B,75,78,70,81900.0,B,normal,normal,Protocolo_2
2246,C,10,8,11,176.0,C,normal,refrigerado,Protocolo_1
2247,A,50,54,49,26460.0,D,normal,refrigerado,Protocolo_1
2248,B,75,71,73,77745.0,B,fragil,normal,Protocolo_1
2249,A,50,47,50,23500.0,C,normal,normal,Protocolo_2
2250,C,10,7,10,140.0,B,fragil,refrigerado,Protocolo_1
2251,C,10,10,14,280.0,B,normal,normal,Protocolo_1
2252,B,75,75,78,87750.0,A,fragil,normal,Protocolo_1
2253,C,10,5,13,130.0,B,normal,normal,Protocolo_1
2254,B,75,74,70,77700.0,B,fragil,refrigerado,Protocolo_1
2255,A,50,52,52,27040.0,C,fragil,refrigerado,Protocolo_1
2256,C,10,13,14,364.0,B,normal,normal,Protocolo_1
2257,B,75,71,71,75615.0,C,fragil,refrigerado,Protocolo_1
2258,C,10,14,12,336.0,C,fragil,normal,Protocolo_1
2259,A,50,50,53,26500.0,A,fragil,normal,Protocolo_1
2260,A,50,48,45,21600.0,A,normal,refrigerado,Protocolo_1
2261,B,75,70,76,79800.0,C,fragil,normal,Protocolo_1
2262,C,10,7,9,126.0,C,normal,normal,Protocolo_1
2263,A,50,54,48,25920.0,B,normal,normal,Protocolo_2
2264,A,50,53,50,26500.0,D,normal,normal,Protocolo_2
2265,A,50,54,55,29700.0,C,fragil,normal,Protocolo_1
2266,B,75,75,77,86625.0,A,fragil,normal,Protocolo_1
2267,B,75,80,80,96000.0,A,normal,refrigerado,Protocolo_1
2268,A,50,54,51,27540.0,D,fragil,refrigerado,Protocolo_1
2269,C,10,13,6,156.0,A,normal,normal,Protocolo_1
2270,A,50,46,52,23920.0,A,fragil,normal,Protocolo_1
2271,C,10,10,10,200.0,B,normal,normal,Protocolo_1
2272,A,50,54,51,27540.0,A,normal,normal,Protocolo_2
2273,B,75,74,76,84360.0,C,fragil,normal,Protocolo_1
2274,A,50,48,47,22560.0,B,normal,normal,Protocolo_2
2275,C,10,15,13,390.0,B,normal,refrigerado,Protocolo_1
2276,C,10,10,11,220.0,C,fragil,normal,Protocolo_1
